runtime,popularity,vote_average,popularity_log
116.0,48.74420900000001,7.1,3.906894054819312
130.0,14.209329,5.8,2.7219089895847284
91.0,36.368839,6.3,3.620837175313417
123.0,24.353302,6.2,3.232908977964819
134.0,19.143321,5.9,3.0028727694265003
148.0,13.327372,6.4,2.6621718335354134
110.0,37.917002,5.7,3.6614312245461287
113.0,23.663713,6.2,3.2053330541230225
94.0,14.44381,6.3,2.737208275814011
116.0,10.605084,5.0,2.451443277959575
99.0,11.873856,6.1,2.5551985882330843
84.0,12.708963,5.8,2.6180498524932316
93.0,8.098369,4.3,2.20809516668982
113.0,20.374308,5.7,3.06218964002976
106.0,42.006908,6.9,3.761360753953337
91.0,875.581305,6.4,6.776029461040431
110.0,39.127082,5.9,3.6920514679545193
98.0,20.790703,5.8,3.081483410941842
134.0,18.65988,5.8,2.9785800109364047
97.0,45.720894,5.9,3.8441914736108673
112.0,21.789615,5.4,3.1263049497406112
146.0,20.199057,5.7,3.0539566995565766
110.0,26.123705,6.5,3.3004080687854573
116.0,12.599836,6.2,2.610057733845769
87.0,13.543053,4.9,2.6771134225539193
177.0,60.722162,7.7,4.12264305604542
125.0,32.227222999999995,6.6,3.5033695098103155
87.0,46.875375,6.9,3.8686012803683054
152.0,11.215702,6.6,2.502722173381721
116.0,8.468586,4.5,2.247979582427634
109.0,8.884317999999997,6.9,2.2909494608180436
108.0,27.491891,6.2,3.3496195204735235
85.0,21.462935,5.4,3.1118666175315153
106.0,28.848187,6.4,3.396124100975618
93.0,47.320801,6.7,3.877862130475918
117.0,82.643036,6.6,4.426558172323468
116.0,20.230535,5.7,3.055440475586058
124.0,46.217769,5.8,3.8547702836119284
93.0,36.952268,5.8,3.636329264901761
117.0,16.411345,6.4,2.8571220052475907
153.0,72.595961,7.9,4.298590146511602
144.0,33.648404,6.6,3.5452516639690295
124.0,57.69846999999999,6.6,4.072413661758414
117.0,34.052253,5.8,3.5568398910153247
136.0,27.299301,6.5,3.3428371046975074
110.0,20.219385,5.3,3.0549151506734824
101.0,42.957215999999995,5.5,3.7832167972296995
88.0,29.412262,5.4,3.414845882349468
138.0,19.708731,6.7,3.0305553987836196
120.0,59.428223,6.2,4.101456264016894
103.0,19.71195100000001,6.3,3.0307108766681456
116.0,49.199234,5.5,3.9159997676171208
125.0,46.199482,7.6,3.8543829179550175
125.0,13.758526000000002,6.0,2.6918209496868903
146.0,29.505574,7.0,3.4179094210142305
118.0,43.873266,5.8,3.8038422053933494
139.0,24.961625,7.1,3.256619486178826
133.0,23.25645,5.8,3.1886825613986907
92.0,64.45794699999999,6.2,4.181407905916993
116.0,20.089933,6.0,3.0487958176245655
127.0,48.03273400000001,7.1,3.892488115887015
136.0,16.92991,7.0,2.8864702680840866
111.0,14.780634,5.2,2.7587834920504335
116.0,14.086292000000002,5.4,2.713786516938141
105.0,29.261348,5.0,3.4098712546251155
97.0,13.267631,5.2,2.6579934050932503
88.0,58.40120400000001,6.1,4.084314495523448
123.0,23.515938,6.0,3.1993234366596086
125.0,14.244518,5.9,2.724219963016811
116.0,29.50148900000001,6.1,3.417775502093856
98.0,9.306253,3.4,2.332750798411236
91.0,8.37378,4.3,2.2379164300550642
97.0,10.930537,5.5,2.4791012476701337
95.0,10.54544,5.9,2.4462905538169073
88.0,6.6820059999999994,5.9,2.0388807109700102
133.0,46.832372,5.1,3.8677026487686317
107.0,24.664776,5.7,3.2451194681347086
114.0,13.483387,4.6,2.6730022684449417
115.0,44.478043,6.7,3.817229638053268
99.0,25.020428,4.4,3.2588819218345506
124.0,22.392544,5.9,3.1524173391109094
124.0,107.069763,5.8,4.682776972289629
124.0,22.572323,6.7,3.160073269579902
95.0,113.858273,7.1,4.7436989596274834
103.0,10.004564,5.4,2.3983100958383043
115.0,68.734513,6.2,4.244695360205574
127.0,18.888806,6.9,2.9901570608980856
121.0,12.948627,5.7,2.6353810804844513
105.0,27.115890000000004,5.4,3.3363348969429385
157.0,26.153669,7.3,3.3015121753711583
114.0,28.22366400000001,6.3,3.3749787920274885
128.0,37.507136,6.5,3.65084357476778
114.0,11.023691,5.5,2.4868789535176643
94.0,38.634767,5.5,3.679706687629226
112.0,25.877794,6.0,3.291300443834768
121.0,18.59991,6.6,2.9755249743891943
102.0,12.282911,5.0,2.586478321834311
169.0,76.04186700000002,7.9,4.344349001360299
130.0,54.81489000000001,6.1,4.022040679668373
127.0,31.39165,6.1,3.477900673534413
81.0,99.561972,7.1,4.61077417427269
136.0,26.792794,5.3,3.3247767784631335
149.0,36.307296,6.7,3.619188910739113
136.0,104.309993,7.9,4.656908314922083
140.0,68.140214,7.3,4.2361365296579105
104.0,14.646884,5.5,2.7502717917307344
157.0,48.356214,7.1,3.89906367487258
119.0,28.540267,6.3,3.385754315654126
98.0,22.977983,6.5,3.177136034301976
136.0,31.086791,6.3,3.468444450121432
95.0,43.865294,6.2,3.8036645337208603
